Simulation,Terrain,Orientation,NumberOfFloors,FloorHeight,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingSystemVintage,Open Office: Heating Setpoint,Open Office: Cooling Setpoint,Open Office: ACH,Open Office: PPA,Meeting: Heating Setpoint,Meeting: Cooling Setpoint,Meeting: ACH,Meeting: PPA,Volume [m³],Area [m²],Construction Area [%],Window to Wall Ratio North [%],Window to Wall Ratio East [%],Window to Wall Ratio South [%],Window to Wall Ratio West [%],HVAC-System Capacity [kW],Baseboard Capacity Sum [kW],EUI [kWh/m²a],EUI Heating [kWh/m²a],EUI Electricity [kWh]
Simulation317,Suburbs,170,6,3.61,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,1980_2004,21.9,26,4.2,0.13,22.5,25.6,5.2,0.43,57821.0955,16016.92396,4.504674,67,42.26,67,42.26,1648.045342,3840.749236,82.992,28.039,54.953
Simulation318,Urban,105,5,3.53,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,2016,21.6,24.3,4.6,0.1,20.5,24.8,5.4,0.47,50535.78093,14316.08525,4.596393,20.26,22.31,20.26,22.31,1369.62468,1881.370307,124.293,68.218,56.075
Simulation319,Urban,38,9,3.71,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_WaterHeater,2013,23.4,25.9,5.8,0.15,22.6,24.8,6.9,0.28,75754.35585,20418.96384,4.430332,26.88,17.96,26.88,17.96,2345.48516,3146.477501,166.805,111.325,55.479
Simulation321,Suburbs,60,9,4.32,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2016,22.5,25.2,4.3,0.19,21,25.3,6.5,0.41,48053.4768,11123.49,6.709207,54.97,68.37,54.97,68.37,1877.963608,4219.911718,106.338,50.801,55.538
Simulation323,City,52,3,3.8,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,1980_2004,21.2,24.6,5.5,0.19,22.6,26.1,6.3,0.36,21967.116,5780.82,6.328233,47.29,67.19,47.29,67.19,764.612939,1673.095063,98.716,42.851,55.866
Simulation326,Urban,39,3,4.06,External-Shading,Passive,DHWBaseboard,Electric_WaterHeater,2004,23.2,26,5.3,0.07,21.3,26.7,5.9,0.32,26199.74259,6453.138568,5.80792,27.42,17.36,27.42,17.36,863.310552,1191.244315,170.001,117.481,52.52
Simulation327,City,46,3,3.09,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2013,21.8,25.8,5.3,0.06,21.5,24.2,6.6,0.16,19540.3303,6323.731488,5.571709,23.67,36.37,23.67,36.37,705.433811,1569.380277,94.851,40.152,54.7
Simulation328,City,1,2,4.23,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2016,22.3,24.1,4.8,0.16,21.3,25.4,5.7,0.25,26397.17114,6240.46599,4.825178,44.56,29.51,44.56,29.51,789.359316,1097.361206,163.796,112.198,51.598
Simulation329,Urban,142,7,4.14,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2007,22.8,24.6,5.2,0.12,21.6,26.4,5.3,0.38,43538.70198,10516.59468,5.507212,65.85,57.39,65.85,57.39,1667.07119,2160.248841,213.997,158.478,55.519
Simulation333,Country,80,3,3.17,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,2013,23.5,24.1,5.2,0.18,22.2,25.7,5.3,0.27,9809.007486,3094.324128,8.193567,14.9,20.05,14.9,20.05,498.13658,671.334258,250.19,197.457,52.733
Simulation335,Urban,136,8,3.69,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2010,21.9,24.6,4.9,0.19,20.4,26.6,6.9,0.46,78293.32003,21217.70191,3.803544,27.02,18.46,27.02,18.46,2157.719753,5014.213931,81.192,25.004,56.187
Simulation336,Suburbs,132,10,3.43,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,2016,23.1,25.3,4.4,0.1,23,24.3,6.7,0.28,54086.48075,15768.65328,5.086034,16.69,25.34,16.69,25.34,1848.902016,2539.603563,154.539,100.486,54.053
Simulation337,Country,166,9,3.94,External-Shading,GEG,DHWBaseboard,Gas_WaterHeater,2019,22.6,25.7,5.2,0.14,23,25.2,6.2,0.24,111998.3306,28425.97224,3.341322,26.17,20.26,26.17,20.26,2582.16882,3591.121348,127.32,70.354,56.965
Simulation342,Suburbs,13,8,3.56,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2010,22.7,25.1,5,0.1,22.1,25.5,6.4,0.44,55614.11801,15621.94326,4.788648,61.59,53.1,61.59,53.1,1902.338424,2602.540226,148.859,92.884,55.976
Simulation344,Country,24,6,3.64,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,1980_2004,23.7,25.2,4.8,0.11,21.2,26.6,6.6,0.18,45746.3888,12567.68923,5.344196,40.53,28.8,40.53,28.8,1502.252427,3636.891131,94.976,39.194,55.782
Simulation345,City,173,5,3.96,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2013,22.3,25,5.8,0.13,22.6,26,6.6,0.18,38824.12512,9804.072,5.071686,41.31,30.34,41.31,30.34,1250.966397,3006.038795,100.116,45.342,54.773
Simulation346,Urban,68,5,3.44,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,pre_1980,23.7,25.5,5.9,0.18,21.6,26.9,5.8,0.33,20971.5429,6096.37875,6.289462,21.01,36.21,21.01,36.21,830.979634,2083.169546,102.907,48.241,54.665
Simulation347,Suburbs,91,3,4.37,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2004,24,25.3,5,0.07,20.8,25,6.6,0.31,36092.45278,8259.142512,4.484145,22.68,27.97,22.68,27.97,1135.078915,2888.464915,110.102,55.135,54.968
Simulation348,Country,32,5,4.48,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,2019,22.9,24.3,5.6,0.1,22.8,25,5.4,0.29,61892.02027,13815.1831,4.858984,24.43,21.55,24.43,21.55,1772.169804,2438.68806,171.427,115.651,55.776
Simulation349,Country,152,7,3.37,External-Shading,GEG,ASHPBaseboard,Gas_WaterHeater,pre_1980,23.2,25.2,5.2,0.14,21.5,24.1,5.8,0.5,37235.01879,11048.967,5.063038,24.27,19.96,24.27,19.96,1405.94919,3555.716098,94.527,38.058,56.47
Simulation350,Urban,96,7,3.51,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,1980_2004,22.7,25.7,5.7,0.12,20.9,26.2,6.7,0.15,35999.3687,10256.2304,5.586559,52.16,63.86,52.16,63.86,1284.508236,1760.173457,155.155,99.96,55.195
Simulation351,Suburbs,49,2,3.01,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004,21.8,24.7,4.2,0.15,21.1,26.2,6.8,0.22,13869.28897,4607.7372,6.227459,17.29,22.17,17.29,22.17,569.472244,1283.219639,95.937,44.859,51.078
Simulation352,City,73,5,4.21,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2007,21.1,25.9,5,0.05,20.8,26.8,6.4,0.41,31362.19844,7449.45331,5.896868,24.57,25.45,24.57,25.45,1141.108617,2605.275042,109.269,52.504,56.765
Simulation355,Urban,154,1,3.39,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004,21.4,24.6,5,0.15,20.8,26.6,6.9,0.21,10451.24292,3082.962512,6.708383,23.56,15.7,23.56,15.7,443.494316,1028.931786,106.882,54.965,51.917
Simulation356,Urban,106,2,3.32,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,1980_2004,24,26,5.3,0.06,22.2,25.1,6.6,0.37,16569.73863,4990.885128,6.091262,15.13,24.88,15.13,24.88,622.461168,1628.768962,102.631,49.854,52.778
Simulation357,Suburbs,31,9,3.29,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2010,23,25.4,5.7,0.09,22.1,25.7,5.4,0.5,76497.90244,23251.64208,4.599708,24.66,18.56,24.66,18.56,2305.49395,5429.678869,83.263,27.673,55.589
Simulation358,City,84,6,3.42,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_WaterHeater,2004,21.7,25.1,4.1,0.15,23.6,26.2,6.5,0.26,25409.71162,7429.74024,6.805418,47.98,62.58,47.98,62.58,990.34826,1286.892915,197.018,141.773,55.245
Simulation359,Suburbs,33,2,2.91,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,2019,22.5,25.2,5.6,0.18,24,26,6.9,0.33,9738.569334,3346.5874,7.963913,30.86,22.51,30.86,22.51,452.559277,1091.370067,102.954,49.072,53.883
Simulation360,Country,88,7,4.4,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,1980_2004,21.4,25.6,5.6,0.09,21.8,26.4,5,0.42,82723.57632,18800.8128,4.637927,35.35,45.06,35.35,45.06,2320.126262,5076.14082,89.573,34.542,55.032
Simulation361,Country,108,9,4.43,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2004,22.3,25,5.7,0.13,23.8,24.3,6.8,0.49,42198.74734,9525.6766,6.185458,17.85,26.57,17.85,26.57,1706.82202,2273.860298,263.728,208.073,55.656
Simulation362,Suburbs,128,3,2.96,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,2010,22.4,24.6,5.2,0.14,22.2,25.2,6.2,0.22,15807.11573,5340.2418,6.162892,18,18.69,18,18.69,641.835012,884.874417,162.334,107.513,54.821
Simulation363,Urban,77,5,3.3,External-Shading,Passive,DHWBaseboard,Gas_WaterHeater,2016,21.1,24.2,5.2,0.17,21.4,25.7,5.2,0.35,38253.92977,11592.09993,5.102226,16.39,25.89,16.39,25.89,1057.710492,1467.541261,115.569,61.561,54.008
Simulation365,Country,145,3,4.41,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2007,21.8,25.4,5.5,0.16,22.5,26.3,6.6,0.43,30140.69607,6834.62496,5.528844,27.33,21.02,27.33,21.02,977.159892,1329.887763,187.027,133.851,53.175
Simulation366,Suburbs,103,8,3.22,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,2010,21.3,24.8,4.1,0.12,21.3,24.4,6.3,0.45,48950.37349,15201.97934,4.586074,17.63,19.72,17.63,19.72,1627.210487,3598.802822,86.115,28.962,57.154
Simulation367,Urban,41,9,2.91,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2004,23.1,25.7,4.4,0.17,21.1,25.4,5.6,0.19,28948.56593,9947.9608,6.019768,57.33,44.8,57.33,44.8,1253.582171,3096.514393,90.532,35.256,55.276
Simulation368,Urban,155,4,3.76,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004,22.8,25.2,4.6,0.14,23.3,24.5,5.9,0.21,27790.05096,7390.971,5.275406,28.21,13.91,28.21,13.91,896.238519,2203.097006,98.599,41.768,56.83
Simulation370,City,67,7,2.96,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004,22.3,25.3,5.8,0.16,23.7,26,6.8,0.41,44285.2883,14961.24605,4.601275,26,34.16,26,34.16,1429.34871,1880.740722,141.995,86.496,55.498
Simulation374,Suburbs,55,1,3.38,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_TanklessHeater,pre_1980,23.2,25.6,4.4,0.15,23.3,25.1,6.7,0.25,9220.732078,2728.027242,6.92284,18.33,25.07,18.33,25.07,440.056548,1210.850728,116,67.698,48.303
Simulation375,Suburbs,156,8,3.71,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2013,23,25.5,5.5,0.16,22.6,26,6.7,0.43,50572.32159,13631.35353,4.726762,39.99,29.54,39.99,29.54,1613.382998,3737.11725,92.836,36.273,56.564
Simulation379,Suburbs,40,5,3.44,Low-SHGC-Value,Passive,DHWBaseboard,Electric_TanklessHeater,2016,23.8,25.3,5.6,0.08,20.2,27,5.3,0.19,30442.22895,8849.48516,5.690248,23.35,16.07,23.35,16.07,971.858988,1335.869757,159.91,104.21,55.7
Simulation380,City,25,2,3.72,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_TanklessHeater,1980_2004,21.8,24.4,4.6,0.11,22.5,26.6,6.9,0.35,11652.92062,3132.505544,7.022357,61.89,45.59,61.89,45.59,463.574256,626.046708,197.938,144.193,53.745
Simulation381,Suburbs,62,7,3.74,Low-SHGC-Value,Passive,DHWBaseboard,Gas_TanklessHeater,2004,22.4,25.5,4.4,0.05,20.1,26.8,6.1,0.49,43243.99834,11562.5664,5.614771,16.48,27.05,18.83,27.05,1358.9883,1876.69341,156.285,100.688,55.597
Simulation382,Suburbs,122,8,3.26,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_WaterHeater,pre_1980,23.9,25.2,4.1,0.17,21.3,26.3,5.2,0.42,38594.06603,11838.67056,5.332459,19.02,24.08,19.02,24.08,1406.025223,3496.789465,96.27,40.882,55.389
Simulation384,City,57,2,2.82,External-Shading,GEG,DHWBaseboard,Electric_WaterHeater,1980_2004,21.9,25.5,5.3,0.19,20.2,25.9,6.3,0.5,13205.96312,4682.965644,5.840402,16.48,17.39,16.48,17.39,565.611612,780.556248,147.726,96.815,50.91
Simulation386,Urban,74,10,4.25,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,pre_1980,23,25.9,4.2,0.1,22.8,24.1,6.4,0.18,44377.62203,10441.79342,6.172056,18.09,25.84,18.09,25.84,1677.412992,2281.51704,223.54,167.288,56.252
Simulation388,Urban,98,2,4.05,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,1980_2004,21.6,25.1,4.8,0.16,23.7,25.3,5.5,0.23,11489.48518,2836.90992,7.319875,53.6,63.95,53.6,63.95,498.70134,676.063667,234.523,180.901,53.621
Simulation390,Suburbs,86,7,3.91,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004,22.7,24.6,4.5,0.15,23.5,25.5,6.8,0.24,40141.90302,10266.47136,5.702643,29.96,39.18,29.96,39.18,1527.835027,3739.277072,106.241,49.944,56.296
Simulation393,City,76,7,4.05,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_TanklessHeater,2016,21.6,24.1,4.2,0.16,21.2,25.7,5.3,0.24,58996.55231,14567.04995,4.689178,16.42,27.94,16.42,27.94,1598.620428,2192.026197,143.986,88.769,55.217
Simulation394,Urban,174,3,3.27,Low-SHGC-Value,Passive,DHWBaseboard,Gas_WaterHeater,2004,22.6,25.4,4.1,0.08,22.3,26.5,6.6,0.49,22387.18701,6846.23456,5.929942,30.31,32.82,30.31,32.82,843.99126,1153.098232,170.218,113.592,56.627
Simulation395,Suburbs,121,10,3.24,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,2010,21.9,25.4,4.3,0.11,21,25.2,6.5,0.32,81237.63602,25073.34445,4.021113,19.07,24.4,19.07,24.4,2367.484596,3265.511083,119.257,63.824,55.432
Simulation396,Country,175,2,3.01,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_WaterHeater,2019,22.4,25.3,5.7,0.11,23.6,25.6,6.4,0.36,21898.051,7275.1,4.536182,60.64,47.2,60.64,47.2,834.94344,1110.538431,187.876,134.699,53.177
Simulation397,Urban,167,6,3.44,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,2010,23.6,24.4,5.5,0.13,22.5,26.6,6.8,0.2,31210.24184,9072.74472,6.538486,25.52,12,25.52,12,1070.648652,1484.413429,162.97,108.663,54.307
Simulation398,Country,136,9,3.06,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,1980_2004,21,25.6,4.6,0.15,21.4,25.9,6.2,0.32,71735.17302,23442.867,3.896065,23.33,16.73,23.33,16.73,2032.996442,4418.929738,76.07,20.273,55.797
Simulation399,Urban,85,10,3.23,External-Shading,Passive,DHWBaseboard,Gas_WaterHeater,2007,22.1,24.4,5,0.17,21.1,24.5,5.7,0.38,55375.69171,17144.177,5.182815,28.99,37.15,28.99,37.15,1775.369148,2446.079931,117.246,60.134,57.112
Simulation400,City,75,8,3.32,External-Shading,NZEB,BoilerBaseboard,Gas_WaterHeater,2007,23.9,24.8,5.5,0.11,21.9,24.3,5.1,0.4,52317.14379,15758.17584,4.42854,24.61,36.56,24.61,36.56,1649.32501,2182.496996,156.492,101.074,55.419
Simulation403,Urban,71,8,2.8,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2016,23.7,25.5,4.6,0.05,21,24.7,6.5,0.48,71612.4206,25575.8645,3.693419,45.23,58.35,45.23,58.35,2016.37865,2617.387171,129.63,73.845,55.785
Simulation407,Urban,150,7,3.2,External-Shading,GEG,DHWBaseboard,Electric_WaterHeater,1980_2004,22.4,24.4,4.1,0.08,20.2,26.9,6.5,0.29,23311.90764,7284.971136,6.312335,18.7,14.85,18.7,14.85,964.68666,1326.452422,173.194,117.855,55.338
Simulation408,Urban,95,8,3.82,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,22.6,24.2,4.8,0.17,21.3,26.2,5,0.38,80908.93074,21180.34836,3.808298,18.57,28.25,18.57,28.25,2129.468501,4876.836603,84.334,28.007,56.327
Simulation411,Urban,24,9,3.05,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2010,21.2,24.5,4.9,0.07,21,24.2,5.5,0.35,64539.55794,21160.5108,4.136446,61.73,42.93,61.73,42.93,1850.620871,3937.18693,75.319,21.363,53.956
Simulation412,Urban,114,1,3.2,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_WaterHeater,pre_1980,22.7,25.5,5.7,0.06,23.4,26.8,5.6,0.24,4943.676595,1544.898936,9.041314,15.04,16.86,15.04,16.86,266.511612,677.872901,132.504,79.379,53.125
Simulation413,City,67,8,3.23,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2010,22.7,25.8,5.5,0.05,21.5,26.9,6.7,0.29,57912.41868,17929.54139,4.687821,16.94,24.66,16.94,24.66,1681.340268,3901.059577,86.377,30.25,56.125
Simulation414,City,175,4,3.4,Low-SHGC-Value,Passive,DHWBaseboard,Electric_WaterHeater,2004,21.5,25.9,4.3,0.16,24,24.6,5.7,0.49,28563.73463,8401.09842,5.779409,19.79,20.02,19.79,20.02,1000.82082,1365.51491,155.101,99.451,55.65
Simulation415,Suburbs,146,9,3.72,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,1980_2004,21,24.4,4.1,0.1,20.8,26.5,5.7,0.29,53382.41188,14350.11072,4.984845,23.7,15.88,23.7,15.88,1745.072784,3948.495725,91.258,36.282,54.976
Simulation416,Suburbs,179,9,3.5,Low-SHGC-Value,GEG,DHWBaseboard,Electric_TanklessHeater,2016,23.5,25.9,5.5,0.17,20.9,24.7,6.4,0.37,92191.7997,26340.5142,3.634103,25.29,20.98,25.29,20.98,2477.653344,3419.995286,121.937,66.119,55.819
Simulation417,Suburbs,31,7,3.63,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004,22.3,25.2,5.9,0.1,22.3,26.5,5.5,0.34,55310.46171,15237.04179,4.465336,41.9,26.02,41.9,26.02,1694.467716,4006.839819,88.379,33.506,54.873
Simulation419,Country,29,1,4.09,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2010,23.2,24,5.9,0.07,22.2,25.8,6.2,0.47,14777.47614,3613.07485,6.506345,28.76,19.22,28.76,19.22,605.33842,821.042877,265.514,215.957,49.557
Simulation420,Urban,93,1,3.64,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,1980_2004,23,24.9,5.9,0.18,21.9,24.7,6.5,0.3,6829.525102,1876.24316,10.074313,54.68,62.01,54.68,62.01,364.43096,874.771486,127.052,74.58,52.472
Simulation421,Urban,45,1,4.26,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2010,22.6,24.6,4.4,0.06,20.2,24.6,5.7,0.45,15199.90067,3568.0518,6.036301,67.92,47.25,67.92,47.25,546.90118,1316.043341,114.15,65.057,49.095
Simulation422,Urban,11,5,4.13,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2004,21.1,25,5.4,0.18,22.4,26.3,6.9,0.39,17407.59193,4214.9133,7.508306,65.25,45.45,65.25,45.45,793.075036,1776.697082,114.47,60.024,54.447
Simulation423,City,40,2,2.81,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2010,23.4,24.4,5.6,0.14,20.7,26.2,6,0.19,20557.47643,7315.827912,4.564296,19.34,16.63,19.34,16.63,850.08294,1143.201194,177.723,123.199,54.525
Simulation424,Suburbs,24,4,3.26,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2013,23.7,24.5,5.4,0.14,24,26.1,6.5,0.18,30993.0808,9507.08,4.907229,22.79,19.89,22.79,19.89,1102.61553,2850.65155,97.994,42.459,55.535
Simulation425,Urban,165,3,3.29,External-Shading,Passive,BoilerBaseboard,Electric_WaterHeater,2016,21.3,25.8,5.8,0.12,23.6,26.5,5.7,0.35,18270.73338,5553.4144,6.656764,40.32,27.72,40.32,27.72,681.35248,893.103425,173.237,120.885,52.353
Simulation426,Suburbs,36,5,4.48,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2013,21,25.8,4.6,0.16,22.8,25.9,7,0.19,43567.48505,9724.885056,4.745209,24.31,21.94,24.31,21.94,1350.792798,3086.343519,103.378,48.921,54.457
Simulation427,Suburbs,30,6,3.65,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2007,22.5,25.2,4.3,0.15,21.6,24,5.5,0.21,55005.48707,15069.99646,4.184207,65.13,50.24,65.13,50.24,1591.04118,2059.220468,148.898,92.64,56.258
Simulation428,City,159,4,2.93,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2013,21.8,25.6,5.7,0.07,23.3,26.5,5.6,0.38,9349.983431,3191.120625,8.94309,52.53,47.81,52.53,47.81,533.846709,1256.950938,117.659,63.225,54.434
Simulation430,Suburbs,150,6,4.02,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,2007,23.8,24.8,5.2,0.12,21.9,26.8,5.6,0.35,42150.21303,10485.12762,5.160213,41.74,24.8,41.74,24.8,1304.217468,1794.006109,174.419,119.719,54.701
Simulation432,Country,177,4,3.1,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,2013,21.2,25.3,5,0.18,21.8,25.1,6.3,0.22,36495.97822,11772.8962,4.432584,23.18,15.25,23.18,15.25,977.19222,1379.009001,116.683,62.037,54.647
Simulation433,Country,144,4,2.87,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2007,22.4,24.1,4.1,0.05,20.3,25.6,5,0.24,19206.6714,6692.22,5.495014,20.94,11.06,20.94,11.06,702.931584,1677.731173,90.063,35.523,54.539
Simulation434,Suburbs,119,2,3.39,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,21.1,25.2,5.6,0.05,20.9,24.9,6.8,0.35,17047.92518,5028.886484,5.72374,48.89,62.21,48.89,62.21,657.161166,1471.751866,99.806,47.005,52.801
Simulation435,Country,40,9,4.33,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_TanklessHeater,2007,21.6,24.7,5.1,0.18,21.7,25.9,6.2,0.21,53284.03433,12305.7816,6.269544,28.18,16.6,28.18,16.6,1821.66132,2383.262628,216.054,161.054,55
Simulation438,Urban,84,7,3.34,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,pre_1980,23.5,26,5.5,0.09,22.7,25.2,5.3,0.38,29500.5935,8832.513024,5.716594,13.39,23.95,13.39,23.95,1095.771723,2842.242924,100.155,43.852,56.302
Simulation439,Country,29,3,4.42,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,1980_2004,23.9,24.5,5.4,0.15,22.2,26.8,5.7,0.41,23597.39699,5338.7776,5.949537,68.48,50.94,68.48,50.94,861.930087,2209.634136,117.98,63.287,54.693
Simulation440,Country,169,4,4.35,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2016,23.2,25.6,5.1,0.12,23,26.6,6.4,0.31,51914.65549,11934.40356,4.223499,68,54.78,68,54.78,1701.284034,4332.23567,100.641,46.109,54.532
Simulation441,Suburbs,110,9,3.37,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2010,22.3,25.7,4.1,0.17,20.4,24.1,5.1,0.28,75864.65405,22511.76678,4.337074,17.9,24.45,17.9,24.45,2131.031892,2965.434704,123.076,68.455,54.621
Simulation442,Urban,140,7,3.45,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2007,22.6,25.3,4.4,0.14,21.4,25.8,5.4,0.4,30661.79054,8887.47552,5.843993,20.82,19.81,20.82,19.81,1197.411876,1634.585501,170.605,114.783,55.822
Simulation443,Urban,99,2,4.19,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2016,22.7,25.1,4.1,0.12,22.2,25.9,5.5,0.36,13979.10475,3336.30185,7.529513,21.71,25.96,21.71,25.96,580.472895,1410.885361,119.989,66.343,53.647
Simulation444,Suburbs,115,5,4.3,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,2007,23.8,24,4.8,0.19,22.9,25.2,6.5,0.19,50794.34879,11812.63925,5.047826,20.32,27.87,20.32,27.87,1517.561554,3828.153896,102.312,47.445,54.866
Simulation445,City,119,4,4.07,External-Shading,Passive,DHWBaseboard,Electric_WaterHeater,2010,21.3,25.6,6,0.1,20.1,25.6,5.1,0.49,47336.35315,11630.5536,4.633888,19.62,28.87,19.62,28.87,1216.697316,1686.328685,130.857,76.711,54.146
Simulation446,Urban,126,2,4.37,External-Shading,NZEB,DHWBaseboard,Electric_TanklessHeater,2010,23.1,24.8,4.4,0.05,21.6,26.7,6.3,0.43,30931.75289,7078.204322,4.766337,22.24,27.9,22.24,27.9,1025.880864,1403.337715,186.813,135.068,51.746
Simulation447,Country,48,2,3.17,External-Shading,GEG,ASHPBaseboard,Gas_WaterHeater,2010,23.6,24.9,4.8,0.06,21.7,25,5.1,0.37,8260.862755,2605.950396,7.289573,42.62,55.9,42.62,55.9,397.201212,1003.074103,117.772,61.716,56.057
Simulation448,City,168,5,3.91,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2013,22.5,25.2,4.4,0.13,23.8,25.6,5.2,0.39,42395.44903,10842.82584,4.520178,26.96,18.47,26.96,18.47,1275.640056,1758.691417,160.072,103.917,56.155
Simulation449,Suburbs,102,10,3.4,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,2007,23.9,25.4,4.4,0.13,22.8,26.6,5.4,0.48,64559.78999,18988.17353,4.747077,17.01,22.53,17.01,22.53,2059.48455,2731.066564,172.198,116.961,55.238
Simulation450,City,67,7,3.66,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2019,22.6,24.5,4.7,0.07,20.9,26.3,6.2,0.44,70532.70608,19271.23117,3.744173,16.11,25.23,16.11,25.23,1810.501301,4197.932498,84.978,28.716,56.262
Simulation452,Urban,178,10,3.73,Low-SHGC-Value,Passive,DHWBaseboard,Gas_TanklessHeater,2016,21.6,25.2,5.8,0.09,21.3,25.8,6,0.31,62894.23691,16861.72571,5.271909,27.59,17.97,27.59,17.97,1791.545256,2453.251799,142.377,87.424,54.953
Simulation453,Urban,28,3,3.34,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_WaterHeater,2007,21.8,25.1,5.2,0.12,21.7,25.1,5.4,0.32,28906.00899,8654.493708,4.243796,23.97,15.52,23.97,15.52,883.62003,1949.239369,89.967,34.268,55.699
