,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingVintage
167,City,162,6,4.36,Ribbon-Windows,3.47,2.07,5,3,3,12.48,True,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2010
168,Suburbs,114,2,3.65,Horizontal-Windows,2.08,2.28,4,5,4,10.47,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2013
169,Suburbs,102,5,3.24,Vertical-Windows,3.52,2.37,5,4,3,9.79,False,External-Shading,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2004
170,City,150,4,4.17,Horizontal-Windows,2.87,3.8,4,3,2,9.65,False,External-Shading,Passive,ASHPBaseboard,HeatPump_WaterHeater,2010
171,Suburbs,169,7,3.23,Ribbon-Windows,3.38,2.74,4,4,4,12.82,True,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2004
172,Suburbs,136,7,4.04,Ribbon-Windows,3.9,2.98,4,5,3,11.64,False,External-Shading,GEG,ASHPBaseboard,HeatPump_WaterHeater,2004
173,Urban,147,2,4.0,Vertical-Windows,2.55,2.15,4,4,3,10.11,True,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2013
174,Suburbs,99,4,4.27,Vertical-Windows,3.15,2.76,3,3,2,8.03,True,External-Shading,GEG,BoilerBaseboard,Electric_WaterHeater,2016
175,Suburbs,179,5,2.91,Vertical-Windows,3.69,2.47,4,4,4,8.97,False,Low-SHGC-Value,GEG,DHWBaseboard,Gas_TanklessHeater,2007
176,Urban,32,9,2.81,Horizontal-Windows,3.92,3.8,4,5,4,11.77,True,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,pre_1980
177,City,111,6,3.94,Ribbon-Windows,2.67,3.94,4,4,2,12.54,False,External-Shading,NZEB,BoilerBaseboard,HeatPump_WaterHeater,1980_2004
178,Urban,49,5,3.59,Horizontal-Windows,2.84,3.78,3,5,4,8.72,False,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2007
179,City,140,9,4.07,Vertical-Windows,3.48,3.81,5,4,4,11.35,True,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2010
180,City,103,8,3.72,Vertical-Windows,3.07,2.63,5,5,2,9.42,True,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_WaterHeater,2004
181,Urban,164,7,3.92,Vertical-Windows,2.91,3.21,3,4,2,12.74,True,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_WaterHeater,2004
182,Suburbs,99,3,4.06,Vertical-Windows,3.8,2.1,5,5,3,11.39,False,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2004
183,Suburbs,49,10,2.98,Ribbon-Windows,3.2,3.94,4,4,3,11.44,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2010
184,Urban,26,8,3.93,Vertical-Windows,3.43,3.64,4,4,3,9.62,False,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_WaterHeater,2013
185,Suburbs,30,3,3.33,Horizontal-Windows,2.97,2.39,4,4,4,7.96,False,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_TanklessHeater,2004
186,Urban,10,5,3.48,Ribbon-Windows,3.39,2.8,5,4,3,11.4,False,External-Shading,Passive,BoilerBaseboard,Gas_WaterHeater,2010
187,City,141,3,3.89,Horizontal-Windows,2.14,3.08,4,4,3,12.8,True,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2007
188,City,22,9,4.26,Horizontal-Windows,3.05,2.29,3,3,2,12.72,True,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2007
189,Suburbs,29,8,4.4,Ribbon-Windows,2.32,3.98,4,4,2,9.75,True,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,2016
190,City,66,9,3.31,Vertical-Windows,2.89,2.04,3,4,4,11.33,True,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,1980_2004
191,Urban,28,5,3.08,Horizontal-Windows,3.41,2.38,5,4,4,7.73,False,Low-SHGC-Value,GEG,ASHPBaseboard,HeatPump_WaterHeater,1980_2004
192,Suburbs,19,5,3.23,Horizontal-Windows,3.58,3.63,4,4,3,11.05,True,External-Shading,Passive,DHWBaseboard,Electric_WaterHeater,2013
193,Country,142,7,3.8,Vertical-Windows,3.03,2.24,4,4,3,8.48,True,External-Shading,NZEB,DHWBaseboard,HeatPump_WaterHeater,1980_2004
194,Urban,164,6,3.79,Vertical-Windows,3.36,3.74,5,3,3,10.56,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,1980_2004
195,Suburbs,23,2,4.47,Vertical-Windows,3.13,2.34,3,4,2,8.44,True,External-Shading,NZEB,DHWBaseboard,Electric_TanklessHeater,1980_2004
196,Urban,101,4,3.83,Vertical-Windows,3.28,2.23,5,4,3,8.59,False,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2013
197,City,122,5,3.25,Vertical-Windows,2.74,3.99,4,4,3,12.45,False,External-Shading,GEG,BoilerBaseboard,Electric_WaterHeater,2004
198,Country,77,7,4.32,Vertical-Windows,2.93,2.24,3,3,2,8.73,True,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2010
199,Urban,48,1,3.65,Horizontal-Windows,2.3,2.49,5,4,3,8.79,False,External-Shading,GEG,BoilerBaseboard,Gas_WaterHeater,2016
200,Urban,105,8,4.01,Horizontal-Windows,3.35,3.51,3,4,2,11.61,True,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,2013
201,Suburbs,36,10,2.88,Vertical-Windows,2.05,3.5,4,5,2,7.41,False,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,2004
202,Suburbs,61,8,3.64,Vertical-Windows,2.6,3.98,3,4,2,7.36,True,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,2019
203,Urban,47,9,4.09,Ribbon-Windows,2.81,3.39,5,4,2,8.13,True,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2007
204,Urban,53,2,3.96,Ribbon-Windows,3.64,3.28,4,5,3,12.69,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2007
205,Country,141,4,3.34,Vertical-Windows,3.45,2.46,5,5,4,10.92,True,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_TanklessHeater,2007
206,Urban,4,2,3.98,Ribbon-Windows,3.03,2.78,3,3,4,12.51,True,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,2004
207,Country,71,6,3.45,Horizontal-Windows,2.35,2.55,4,4,4,10.88,False,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2016
208,Suburbs,149,10,3.42,Horizontal-Windows,2.79,3.61,4,5,2,7.7,True,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2007
209,Suburbs,170,3,3.99,Horizontal-Windows,2.26,2.0,4,4,3,7.59,False,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,2010
210,Country,110,4,2.91,Ribbon-Windows,3.01,2.66,3,4,4,11.88,False,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2013
211,Suburbs,17,1,3.49,Ribbon-Windows,3.62,2.21,3,4,2,10.94,False,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,2016
212,Urban,25,7,3.35,Ribbon-Windows,2.15,3.3,5,4,3,12.66,True,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2013
213,City,48,6,4.21,Ribbon-Windows,3.54,3.01,5,3,3,8.12,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2013
214,Suburbs,129,8,4.48,Ribbon-Windows,2.54,3.83,4,4,3,10.04,False,Low-SHGC-Value,GEG,DHWBaseboard,Gas_WaterHeater,2010
215,Suburbs,126,9,3.01,Ribbon-Windows,3.75,2.49,4,4,3,9.16,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,pre_1980
216,Suburbs,158,6,3.18,Vertical-Windows,3.27,2.72,4,5,2,9.63,False,Low-SHGC-Value,GEG,ASHPBaseboard,HeatPump_WaterHeater,2007
217,Urban,133,6,2.87,Ribbon-Windows,3.29,2.14,3,3,4,8.17,True,External-Shading,GEG,DHWBaseboard,Electric_TanklessHeater,2004
218,Suburbs,160,10,2.83,Ribbon-Windows,3.59,3.91,5,5,4,12.04,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2004
219,City,97,8,3.76,Horizontal-Windows,2.9,3.07,5,4,4,9.77,True,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_TanklessHeater,2010
220,Urban,95,2,3.84,Vertical-Windows,3.03,3.88,4,5,3,10.84,True,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_TanklessHeater,pre_1980
221,Country,14,3,3.6,Vertical-Windows,3.77,3.77,4,5,3,12.46,True,External-Shading,GEG,BoilerBaseboard,Gas_TanklessHeater,2013
222,Urban,40,6,3.7,Horizontal-Windows,3.55,2.01,5,5,3,11.7,False,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2019
223,Suburbs,68,7,3.56,Horizontal-Windows,2.54,3.05,3,4,3,12.42,True,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,pre_1980
224,Suburbs,78,3,4.16,Vertical-Windows,2.73,2.16,3,4,4,11.92,False,External-Shading,GEG,BoilerBaseboard,Gas_WaterHeater,pre_1980
225,Country,163,10,4.34,Ribbon-Windows,3.29,2.48,4,5,4,8.86,False,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2007
226,Urban,32,5,3.12,Vertical-Windows,2.98,2.2,5,4,2,7.49,True,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,pre_1980
227,Urban,152,3,3.27,Vertical-Windows,3.92,3.35,5,4,3,11.41,True,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2010
228,Urban,76,6,2.92,Ribbon-Windows,2.75,3.77,4,3,4,9.53,True,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,2016
229,Urban,88,2,3.28,Vertical-Windows,2.37,3.09,4,5,2,10.14,False,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,2019
230,Suburbs,108,9,4.2,Vertical-Windows,2.7,2.73,5,4,2,9.5,True,External-Shading,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2010
231,City,107,2,4.31,Vertical-Windows,3.09,3.18,4,4,2,8.91,False,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_TanklessHeater,pre_1980
232,Urban,64,9,4.2,Horizontal-Windows,3.96,3.01,4,4,2,8.66,True,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2013
233,Urban,122,6,2.93,Horizontal-Windows,2.06,3.53,4,3,3,12.09,False,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2007
234,Country,1,6,4.36,Horizontal-Windows,3.11,3.72,4,4,4,10.43,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004
235,City,85,7,3.51,Vertical-Windows,2.95,2.77,5,3,4,12.88,False,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2016
236,Suburbs,1,4,4.1,Vertical-Windows,3.95,3.27,4,4,3,8.8,False,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,1980_2004
237,Urban,176,3,3.22,Ribbon-Windows,3.86,2.84,4,3,3,9.44,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004
238,Urban,79,6,3.3,Horizontal-Windows,2.63,2.98,4,3,3,12.37,True,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2016
239,Country,117,7,4.08,Ribbon-Windows,3.38,3.66,3,4,4,11.85,False,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,1980_2004
240,Urban,165,8,3.1,Vertical-Windows,3.82,3.32,4,5,3,12.41,True,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,pre_1980
241,Suburbs,14,9,3.47,Vertical-Windows,3.87,2.45,4,5,2,12.84,False,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_TanklessHeater,2013
242,City,37,7,3.54,Vertical-Windows,3.08,2.36,3,4,4,7.01,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2016
243,Urban,112,10,3.52,Vertical-Windows,2.46,2.81,5,4,2,7.55,False,External-Shading,Passive,DHWBaseboard,Electric_TanklessHeater,2016
244,Suburbs,34,6,3.84,Ribbon-Windows,3.53,3.75,5,4,2,7.82,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,2007
245,Suburbs,16,1,3.33,Ribbon-Windows,2.49,3.49,4,3,2,7.18,True,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,2016
246,Urban,163,4,3.11,Ribbon-Windows,2.66,3.47,3,4,3,11.46,True,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,2004
247,Urban,71,1,3.37,Vertical-Windows,2.42,3.54,3,4,3,9.97,True,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,pre_1980
248,Urban,65,7,4.41,Horizontal-Windows,3.62,2.68,4,5,3,9.71,True,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2019
249,Urban,162,7,3.77,Ribbon-Windows,2.17,3.54,4,5,4,7.22,True,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2007
250,Urban,119,4,4.12,Vertical-Windows,2.56,2.64,5,4,2,8.38,True,Low-SHGC-Value,GEG,BoilerBaseboard,HeatPump_WaterHeater,2004
251,Suburbs,6,9,4.08,Ribbon-Windows,3.17,2.67,5,4,2,9.22,False,External-Shading,GEG,DHWBaseboard,Electric_WaterHeater,2013
252,Suburbs,34,8,4.39,Vertical-Windows,3.2,2.31,4,5,3,10.32,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_TanklessHeater,2013
253,Urban,26,3,4.07,Vertical-Windows,3.18,2.44,4,3,3,9.89,True,Low-SHGC-Value,GEG,DHWBaseboard,Gas_TanklessHeater,2013
254,Country,179,9,3.02,Vertical-Windows,2.4,3.95,4,3,3,8.71,True,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,2016
255,City,164,5,3.13,Vertical-Windows,3.63,3.31,5,3,2,7.88,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2016
256,Suburbs,144,2,3.82,Vertical-Windows,3.73,3.16,3,3,4,10.22,True,Low-SHGC-Value,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2010
257,Suburbs,20,4,2.95,Horizontal-Windows,3.93,2.3,5,5,3,11.2,False,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2004
258,Country,14,1,4.0,Horizontal-Windows,2.27,3.33,4,4,4,12.63,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2010
259,Country,165,9,3.09,Vertical-Windows,2.82,2.86,3,5,3,10.79,True,Low-SHGC-Value,Passive,BoilerBaseboard,HeatPump_WaterHeater,2019
260,City,63,8,2.97,Horizontal-Windows,2.91,2.4,4,5,4,10.41,True,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2013
261,Urban,86,4,4.28,Vertical-Windows,2.24,3.67,3,4,2,9.12,False,Low-SHGC-Value,Passive,BoilerBaseboard,HeatPump_WaterHeater,1980_2004
262,Suburbs,135,7,4.23,Ribbon-Windows,3.53,3.9,4,3,3,11.03,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,2007
263,Suburbs,121,5,2.94,Horizontal-Windows,3.43,2.78,5,4,4,8.18,False,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2010
264,Suburbs,155,2,3.85,Vertical-Windows,3.31,3.52,3,3,3,9.81,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2010
265,Suburbs,5,9,3.28,Ribbon-Windows,3.86,3.55,4,4,3,7.69,False,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2007
266,Country,23,6,4.48,Ribbon-Windows,2.17,2.06,3,3,4,8.37,True,External-Shading,GEG,DHWBaseboard,HeatPump_WaterHeater,2004
267,City,96,6,3.3,Vertical-Windows,3.33,2.08,5,5,3,11.26,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004
268,Urban,93,7,3.78,Ribbon-Windows,3.6,2.57,5,3,3,9.78,False,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,1980_2004
269,Urban,116,6,3.43,Horizontal-Windows,2.07,3.25,3,4,2,7.81,False,Low-SHGC-Value,GEG,DHWBaseboard,Gas_TanklessHeater,2004
270,Country,15,4,3.01,Vertical-Windows,2.16,4.0,4,4,3,9.9,True,Low-SHGC-Value,GEG,ASHPBaseboard,HeatPump_WaterHeater,2010
271,Urban,46,6,3.4,Ribbon-Windows,2.77,3.02,3,5,3,7.14,False,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2019
272,Suburbs,149,8,4.25,Vertical-Windows,3.59,3.17,4,5,3,12.23,False,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,1980_2004
273,Urban,143,6,3.64,Vertical-Windows,3.66,3.44,4,5,2,9.87,True,External-Shading,NZEB,BoilerBaseboard,Gas_WaterHeater,2004
274,Suburbs,128,4,4.45,Vertical-Windows,2.41,2.99,3,3,2,12.68,True,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_WaterHeater,2019
275,Suburbs,82,4,3.05,Vertical-Windows,2.02,2.63,4,4,3,7.61,False,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2007
276,Suburbs,131,4,3.8,Horizontal-Windows,2.47,3.88,3,4,2,11.1,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2019
277,Suburbs,148,8,3.52,Vertical-Windows,3.17,3.14,4,3,2,7.72,True,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,1980_2004
278,City,138,5,3.31,Horizontal-Windows,3.02,2.91,4,5,3,10.81,True,Low-SHGC-Value,GEG,ASHPBaseboard,HeatPump_WaterHeater,1980_2004
279,Urban,100,2,4.45,Vertical-Windows,3.02,3.48,3,5,3,7.3,True,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016
280,Country,51,1,3.09,Horizontal-Windows,3.94,2.46,4,4,3,10.62,False,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2013
281,Suburbs,18,9,4.3,Ribbon-Windows,3.07,3.52,5,5,2,9.59,False,Low-SHGC-Value,Passive,DHWBaseboard,Electric_WaterHeater,2016
282,Suburbs,124,7,3.92,Vertical-Windows,2.06,2.8,4,4,3,9.4,False,External-Shading,GEG,DHWBaseboard,Electric_TanklessHeater,2016
283,Urban,85,4,2.96,Horizontal-Windows,3.86,3.19,4,4,4,7.85,False,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_TanklessHeater,2016
284,City,89,8,3.29,Vertical-Windows,2.71,2.3,5,4,3,8.88,True,Low-SHGC-Value,Passive,DHWBaseboard,HeatPump_WaterHeater,2004
285,Urban,33,2,4.43,Ribbon-Windows,2.61,2.41,4,4,4,8.84,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,1980_2004
286,Urban,17,3,3.73,Horizontal-Windows,2.49,3.31,5,4,3,12.22,True,External-Shading,NZEB,DHWBaseboard,Electric_TanklessHeater,1980_2004
287,Suburbs,20,4,3.46,Ribbon-Windows,3.37,3.74,4,3,3,8.92,True,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2004
288,City,54,3,3.66,Horizontal-Windows,2.3,2.19,4,4,4,10.35,False,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,pre_1980
289,Urban,171,9,3.99,Horizontal-Windows,2.24,3.3,5,4,2,11.04,False,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2016
290,Suburbs,21,4,3.16,Ribbon-Windows,3.42,3.39,4,5,3,7.26,True,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2010
291,Suburbs,86,5,2.97,Ribbon-Windows,3.42,2.48,4,4,3,9.04,True,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2010
292,Country,42,9,3.58,Vertical-Windows,3.56,3.59,4,3,2,8.25,False,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,2013
293,Suburbs,107,2,4.5,Vertical-Windows,2.64,2.34,3,3,3,9.32,True,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2007
294,Urban,49,4,4.3,Vertical-Windows,3.26,2.03,4,4,3,7.38,True,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2010
295,Urban,27,6,4.31,Horizontal-Windows,3.37,3.38,5,4,3,9.67,True,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2004
296,Country,97,6,4.4,Ribbon-Windows,3.15,3.04,5,4,2,12.06,True,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2010
297,Suburbs,12,8,3.43,Horizontal-Windows,3.7,3.67,3,4,3,12.43,True,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2007
298,Suburbs,139,9,4.13,Ribbon-Windows,3.68,3.06,4,4,4,7.05,True,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_WaterHeater,2010
299,Urban,50,2,4.35,Vertical-Windows,3.76,3.12,5,5,3,12.24,False,Low-SHGC-Value,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2007
300,Urban,67,3,4.25,Vertical-Windows,2.19,3.41,5,4,2,8.53,False,External-Shading,NZEB,DHWBaseboard,HeatPump_WaterHeater,2013
301,Suburbs,65,4,3.47,Horizontal-Windows,3.44,3.44,5,5,4,10.28,False,Low-SHGC-Value,GEG,ASHPBaseboard,HeatPump_WaterHeater,2013
302,Urban,159,9,2.84,Vertical-Windows,2.73,2.02,4,4,3,7.65,True,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2007
303,Suburbs,94,3,4.18,Vertical-Windows,3.32,3.29,4,4,4,8.95,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2013
304,Suburbs,133,7,4.05,Horizontal-Windows,2.33,2.22,4,4,4,11.71,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2016
305,Urban,74,2,4.23,Vertical-Windows,2.74,3.62,5,3,4,12.94,True,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2010
306,Suburbs,111,8,3.57,Ribbon-Windows,2.09,2.25,5,4,3,9.1,True,Low-SHGC-Value,Passive,DHWBaseboard,Electric_TanklessHeater,2013
307,Suburbs,142,9,2.89,Vertical-Windows,2.6,3.26,3,4,2,11.08,True,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2019
308,Urban,73,3,3.54,Ribbon-Windows,2.95,2.56,5,4,4,10.78,True,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2013
309,Urban,76,6,4.15,Ribbon-Windows,2.63,3.43,4,4,2,10.57,True,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2019
310,Urban,112,6,4.42,Vertical-Windows,2.0,2.43,3,4,4,12.86,True,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,pre_1980
311,Suburbs,80,8,2.99,Vertical-Windows,3.81,3.05,4,4,2,10.23,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_WaterHeater,2013
312,Country,115,7,3.63,Vertical-Windows,3.74,2.1,4,3,3,9.26,False,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,2010
313,Suburbs,50,3,3.44,Horizontal-Windows,2.64,3.7,3,3,2,10.72,True,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2007
314,Urban,178,6,4.27,Vertical-Windows,2.77,2.95,4,4,4,8.45,False,Low-SHGC-Value,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2013
315,City,111,3,3.94,Vertical-Windows,2.28,2.62,5,5,2,11.91,True,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,2007
316,Urban,170,5,3.14,Vertical-Windows,3.25,3.35,5,4,2,10.7,False,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2004
317,Suburbs,2,7,3.63,Horizontal-Windows,3.9,3.28,3,5,4,7.87,True,Low-SHGC-Value,Passive,ASHPBaseboard,HeatPump_WaterHeater,2010
318,Urban,161,6,2.81,Vertical-Windows,2.22,3.85,5,5,4,7.29,False,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2004
319,Suburbs,134,7,3.51,Horizontal-Windows,2.26,3.2,4,4,3,12.87,False,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2013
320,Urban,117,8,3.56,Vertical-Windows,2.08,3.72,4,3,2,10.52,False,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,pre_1980
321,Urban,69,1,3.69,Horizontal-Windows,2.86,2.57,4,4,3,11.62,False,Low-SHGC-Value,Passive,DHWBaseboard,Electric_TanklessHeater,2007
322,Suburbs,81,2,3.93,Vertical-Windows,2.1,3.22,3,4,3,7.1,True,External-Shading,Passive,DHWBaseboard,Electric_WaterHeater,2010
323,Suburbs,115,8,4.09,Vertical-Windows,2.4,2.18,3,4,4,12.31,False,Low-SHGC-Value,GEG,BoilerBaseboard,HeatPump_WaterHeater,2007
324,Suburbs,13,4,3.97,Vertical-Windows,2.22,3.17,4,4,3,12.27,False,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,1980_2004
325,Urban,85,10,2.86,Horizontal-Windows,2.46,3.04,5,5,2,12.25,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2016
326,Country,31,9,3.47,Vertical-Windows,3.58,3.24,4,5,3,9.66,False,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2013
327,City,34,5,2.82,Vertical-Windows,3.09,2.97,3,4,3,7.06,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,pre_1980
328,City,67,8,4.19,Horizontal-Windows,2.92,3.41,4,3,4,11.76,True,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,1980_2004
329,Urban,140,1,3.81,Horizontal-Windows,2.21,2.59,4,3,2,8.94,False,Low-SHGC-Value,GEG,DHWBaseboard,Gas_WaterHeater,2016
330,Suburbs,173,9,4.44,Vertical-Windows,2.87,2.7,5,4,3,9.14,True,External-Shading,NZEB,DHWBaseboard,Electric_TanklessHeater,1980_2004
331,Suburbs,125,7,4.49,Vertical-Windows,2.84,2.32,4,5,3,8.06,True,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_WaterHeater,pre_1980
332,Urban,6,9,3.37,Ribbon-Windows,2.82,2.33,3,3,3,11.15,False,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2019
333,Urban,73,9,4.5,Vertical-Windows,2.98,2.89,3,5,2,12.21,False,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2010
